ID_MATERIELINFO,TYPE,MODELE,IMPACT,ECRAN
BERLIN_MATERIEL_INFO_202604290,pc fixe,precision tower 7xxx,0.555,non
BERLIN_MATERIEL_INFO_202604293,pc portable,elitebook 6xx,0.175,non
BERLIN_MATERIEL_INFO_202604294,vidéo projecteur,modèle par défaut,0.094,non
LONDON_MATERIEL_INFO_202604291,tablette,modèle par défaut,0.15,non
LONDON_MATERIEL_INFO_202604292,souris,modèle par défaut,0.005,non
LONDON_MATERIEL_INFO_202604293,pc fixe tout-en-un,imac 27pouces retina,0.45,non
LONDON_MATERIEL_INFO_202604294,pc portable,moyenne 13pouces,0.25,non
LONDON_MATERIEL_INFO_202604296,pc portable,probook,0.226,non
LA_MATERIEL_INFO_202604290,pc portable,precision 3xxx,0.266,non
LA_MATERIEL_INFO_202604291,pc fixe,rasberry pi 4,0.015,non
LA_MATERIEL_INFO_202604293,souris,modèle par défaut,0.005,non
LA_MATERIEL_INFO_202604295,pc fixe tout-en-un,modèle par défaut,0.352,non
NewYork_MATERIEL_INFO_202604290,pc fixe,zhan,0.264,non
NewYork_MATERIEL_INFO_202604292,pc fixe,precision tower 5xxx,0.44,non
NewYork_MATERIEL_INFO_202604293,imprimante,modèle par défaut,0.5,non
NewYork_MATERIEL_INFO_202604295,pc portable,precision 7xxx,0.304,non
NewYork_MATERIEL_INFO_202604296,pc portable,elitebook 6xx,0.175,non
NewYork_MATERIEL_INFO_202604297,pc fixe,zhan,0.264,non
Paris_MATERIEL_INFO_202604290,pc fixe,z,0.409,non
Paris_MATERIEL_INFO_202604291,imprimante,laser a3 (>100kg),1.8,non
Paris_MATERIEL_INFO_202604292,pc fixe,precision tower 3xxx,0.285,non
Paris_MATERIEL_INFO_202604297,pc portable,chromebook 11-13pouces,0.175,non
Paris_MATERIEL_INFO_202604298,smartphone,modèle par défaut,0.063,non
Paris_MATERIEL_INFO_2026042910,pc fixe,mac pro,0.9,non
Shanghai_MATERIEL_INFO_202604291,pc fixe,"elite (tower, sff, one)",0.393,non
Shanghai_MATERIEL_INFO_202604292,pc fixe,elite mini,0.137,non
Shanghai_MATERIEL_INFO_202604293,ecran,jusqu'à 23pouces,0.35,non
Shanghai_MATERIEL_INFO_202604294,pc fixe tout-en-un,imac 21pouces retina,0.3,non
Shanghai_MATERIEL_INFO_202604295,ecran,24pouces-31pouces,0.43,non
Paris_MATERIEL_INFO_202604303,pc fixe,optiplex micro,0.174,non
NewYork_MATERIEL_INFO_202604301,pc fixe,precision tower 7xxx,0.555,non
Shanghai_MATERIEL_INFO_202604302,pc fixe,elite mini,0.137,non
BERLIN_MATERIEL_INFO_202604303,pc fixe,"elitedesk (tower, sff, one)",0.393,non
NewYork_MATERIEL_INFO_202604304,pc fixe,station de travail (moy),0.6,non
LA_MATERIEL_INFO_202604300,pc fixe,station de travail (moy),0.6,non
Paris_MATERIEL_INFO_202604301,pc fixe,pc fixe (moy),0.3,non
Shanghai_MATERIEL_INFO_202604300,pc fixe tout-en-un,mac pro,0.9,non
BERLIN_MATERIEL_INFO_202604301,pc portable,elitebook 10xx,0.223,non
LONDON_MATERIEL_INFO_202604301,pc portable,probook,0.226,non
Paris_MATERIEL_INFO_202604300,pc portable,precision 7xxx,0.304,non
LONDON_MATERIEL_INFO_202604302,pc portable,macbook air,0.25,non
LONDON_MATERIEL_INFO_202604300,pc portable,macbook air,0.25,non
BERLIN_MATERIEL_INFO_202604300,pc portable,macbook air,0.25,non
NewYork_MATERIEL_INFO_202604303,serveur,noeud de calcul,1.3,non
Paris_MATERIEL_INFO_202604302,serveur,serveur de stockage,2.5,non
LONDON_MATERIEL_INFO_202605015,pc fixe,optiplex small,0.24,non
LA_MATERIEL_INFO_2026050112,pc fixe,wyse thin client,0.069,non
LA_MATERIEL_INFO_2026050111,pc fixe,precision tower 7xxx,0.555,non
Shanghai_MATERIEL_INFO_202605013,pc fixe,mac mini,0.27,non
LONDON_MATERIEL_INFO_202605012,pc fixe,mac mini,0.27,non
Shanghai_MATERIEL_INFO_202605019,pc fixe,"elitedesk (tower, sff, one)",0.393,non
LONDON_MATERIEL_INFO_202605018,pc fixe,"elite (tower, sff, one)",0.393,non
LA_MATERIEL_INFO_2026050110,pc fixe,omen,0.29,non
LA_MATERIEL_INFO_202605018,pc fixe,omen,0.29,non
LA_MATERIEL_INFO_202605014,pc fixe tout-en-un,optiplex all-in-one 5xxx,0.318,non
Shanghai_MATERIEL_INFO_202605010,pc fixe tout-en-un,optiplex all-in-one 7xxx,0.382,non
LONDON_MATERIEL_INFO_202605016,pc portable,omen,0.356,non
Paris_MATERIEL_INFO_202605012,pc portable,elitebook 8xx,0.29,non
Paris_MATERIEL_INFO_202605011,pc portable,elitebook 10xx,0.223,non
Shanghai_MATERIEL_INFO_202605015,pc portable,probook,0.226,non
LA_MATERIEL_INFO_202605010,pc portable,zbook studio,0.379,non
Shanghai_MATERIEL_INFO_202605012,pc portable,latitude 3xxx,0.22,non
LONDON_MATERIEL_INFO_202605010,pc portable,latitude 3xxx,0.22,non
LONDON_MATERIEL_INFO_202605017,pc portable,macbook air,0.25,non
LA_MATERIEL_INFO_202605019,pc portable,macbook pro 13pouces,0.256,non
Shanghai_MATERIEL_INFO_202605018,pc portable,macbook pro 15/16pouces,0.33,non
LONDON_MATERIEL_INFO_202605013,ecran,jusqu'à 23pouces,0.35,non
