ID_MISSION,TYPE_MISSION,VILLE_DEPART,VILLE_DESTINATION,TRANSPORT,ALLER_RETOUR,IMPACT_CARBONE
BERLIN_202604290,Internal Meeting,Berlin,Washington,Avion,oui,1.0344617760638948
BERLIN_202604291,Training,Berlin,Alger,Avion,oui,0.37825039635950586
BERLIN_202604292,Conference,Berlin,London,Avion,oui,0.2646797773164078
BERLIN_202604293,Development,Berlin,Montreal,Avion,oui,0.9261477338631776
BERLIN_202604294,Development,Shanghai,New-York,Avion,oui,1.8169194861576556
BERLIN_202604295,Conference,Berlin,Berlin,Transports en commun,oui,0.00032
BERLIN_202604296,Development,Berlin,Bordeaux,Avion,oui,0.26659979154891283
BERLIN_202604297,Internal Meeting,Berlin,Helsinki,Avion,oui,0.22456195078855723
BERLIN_202604298,Internal Meeting,Berlin,Montreal,Avion,oui,0.9261477338631776
BERLIN_202604299,Training,Berlin,Vancouver,Avion,oui,1.2271526170062694
BERLIN_2026042910,Development,Berlin,Pekin,Avion,oui,1.1327413122604757
BERLIN_2026042911,Business Meeting,Berlin,Dubaï,Avion,oui,0.7172509834741226
BERLIN_2026042912,Business Meeting,Berlin,Stockholm,Avion,oui,0.23365209633025752
BERLIN_2026042913,Conference,Berlin,Alger,Avion,oui,0.37825039635950586
BERLIN_2026042914,Internal Meeting,Berlin,Pekin,Avion,oui,1.1327413122604757
BERLIN_2026042915,Development,Berlin,New-York,Avion,oui,0.984889681053484
BERLIN_2026042916,Business Meeting,Berlin,Bordeaux,Avion,oui,0.26659979154891283
BERLIN_2026042917,Business Meeting,Berlin,Compiègne,Avion,oui,0.2348762145071542
BERLIN_2026042918,Development,Berlin,Pekin,Avion,oui,1.1327413122604757
BERLIN_2026042919,Conference,Berlin,Marseille,Avion,oui,0.23943933164074335
BERLIN_2026042920,Training,Berlin,Sidney,Avion,oui,2.4609158217057128
BERLIN_2026042921,Internal Meeting,Berlin,Stockholm,Avion,oui,0.23365209633025752
BERLIN_2026042922,Training,Berlin,Compiègne,Avion,oui,0.2348762145071542
BERLIN_2026042923,Training,Berlin,Washington,Avion,oui,1.0344617760638948
BERLIN_2026042924,Training,Berlin,London,Avion,oui,0.2646797773164078
BERLIN_2026042925,Internal Meeting,Berlin,Sidney,Avion,oui,2.4609158217057128
BERLIN_2026042926,Conference,Berlin,Marseille,Avion,oui,0.23943933164074335
BERLIN_2026042927,Internal Meeting,Berlin,Vancouver,Avion,non,1.2271526170062694
BERLIN_2026042928,Business Meeting,Berlin,Melbourne,Avion,oui,2.4424900332385766
BERLIN_2026042929,Internal Meeting,Berlin,Wellington,Avion,oui,2.7714843516316483
BERLIN_2026042930,Business Meeting,Berlin,Dubaï,Avion,non,0.7172509834741226
LONDON_202604290,Development,London,Dubaï,Avion,oui,0.8462864062221045
LONDON_202604291,Training,London,Dubaï,Avion,oui,0.8462864062221045
LONDON_202604292,Internal Meeting,London,Montreal,Avion,oui,0.8080157246730256
LONDON_202604293,Conference,London,Bordeaux,Avion,oui,0.21594706427273094
LONDON_202604294,Development,Shanghai,Tunis,Avion,oui,1.5143579443135426
LONDON_202604295,Development,London,New-York,Avion,oui,0.8611147885052602
LONDON_202604296,Business Meeting,London,Mexico,Avion,oui,1.3438348114697487
LONDON_202604297,Internal Meeting,London,Stockholm,Avion,oui,0.2856740096546725
LONDON_202604298,Training,Paris,Stockholm,Avion,oui,0.3064524506233772
LONDON_202604299,Internal Meeting,London,Compiègne,Avion,oui,0.10514263321140531
LONDON_2026042910,Internal Meeting,London,Los Angeles,Avion,oui,1.345263111598265
LONDON_2026042911,Conference,London,Compiègne,Avion,oui,0.10514263321140531
LONDON_2026042912,Internal Meeting,London,Alger,Avion,oui,0.32773676062467577
LONDON_2026042913,Business Meeting,London,Berlin,Avion,oui,0.2646797773164078
LONDON_2026042914,Training,London,Tokyo,Avion,oui,1.4679579183331481
LONDON_2026042915,Training,London,Osaka,Avion,oui,1.4583397618729064
LONDON_2026042916,Internal Meeting,London,Mexico,Avion,oui,1.3438348114697487
LONDON_2026042917,Training,London,Auckland,Avion,non,2.8015700537607446
LONDON_2026042918,Internal Meeting,London,Bordeaux,Avion,oui,0.21594706427273094
LONDON_2026042919,Development,Shanghai,Mexico,Avion,oui,1.8924944102575025
LONDON_2026042920,Development,London,Oslo,Avion,oui,0.23341689455796424
LONDON_2026042921,Conference,London,Osaka,Avion,oui,1.4583397618729064
LONDON_2026042922,Conference,London,Los Angeles,Avion,oui,1.345263111598265
LONDON_2026042923,Conference,London,Tunis,Avion,oui,0.41208934063584424
LONDON_2026042924,Development,London,New-York,Avion,oui,0.8611147885052602
LONDON_2026042925,Internal Meeting,London,Compiègne,Avion,oui,0.10514263321140531
LONDON_2026042926,Conference,London,Alger,Avion,oui,0.32773676062467577
LONDON_2026042927,Development,London,Lille,Avion,oui,0.08722071305468451
LONDON_2026042928,Training,London,Alger,Avion,oui,0.32773676062467577
LONDON_2026042929,Conference,London,Marseille,Avion,oui,0.20508872977185863
LONDON_2026042930,Development,London,Bogota,Avion,oui,1.305914171107785
LONDON_2026042931,Training,London,Melbourne,Avion,oui,2.583802037335948
LA_202604290,Business Meeting,Los Angeles,Rabat,Avion,oui,1.474800286459264
LA_202604291,Conference,New-York,Osaka,Avion,non,1.7021198028261946
LA_202604292,Conference,Los Angeles,Alger,Avion,oui,1.5448563309532
LA_202604293,Conference,Los Angeles,Auckland,Avion,oui,1.6099723083620663
LA_202604294,Conference,Los Angeles,Rabat,Avion,oui,1.474800286459264
LA_202604295,Development,Los Angeles,Los Angeles,Transports en commun,oui,0.00032
LA_202604296,Internal Meeting,New-York,Stockholm,Avion,oui,0.9751235348104391
LA_202604297,Business Meeting,Los Angeles,Sidney,Avion,oui,1.8496576605277766
LA_202604298,Training,Los Angeles,Auckland,Avion,oui,1.6099723083620663
LA_202604299,Business Meeting,Los Angeles,Rio de Janeiro,Avion,oui,1.555835237271647
LA_2026042910,Internal Meeting,Los Angeles,London,Avion,oui,1.345263111598265
LA_2026042911,Training,Los Angeles,Alger,Avion,oui,1.5448563309532
LA_2026042912,Business Meeting,Los Angeles,Auckland,Avion,oui,1.6099723083620663
LA_2026042913,Development,Los Angeles,Tokyo,Avion,oui,1.3536910452568316
LA_2026042914,Development,Los Angeles,London,Avion,oui,1.345263111598265
LA_2026042915,Conference,Los Angeles,Alger,Avion,oui,1.5448563309532
LA_2026042916,Internal Meeting,Paris,New-York,Avion,oui,0.901681650994046
LA_2026042917,Conference,Los Angeles,Sidney,Avion,oui,1.8496576605277766
LA_2026042918,Development,Los Angeles,Melbourne,Avion,oui,1.9561326399590002
LA_2026042919,Training,Los Angeles,Sao Paulo,Avion,oui,1.520210334023299
LA_2026042920,Development,Los Angeles,Lima,Avion,oui,1.0367011522757683
LA_2026042921,Internal Meeting,Los Angeles,Pekin,Avion,oui,1.5439352100455292
LA_2026042922,Training,Los Angeles,Tunis,Avion,oui,1.640767642851203
LA_2026042923,Training,Los Angeles,Lima,Avion,non,1.0367011522757683
LA_2026042924,Business Meeting,Los Angeles,Montreal,Avion,oui,0.6173693492873022
LA_2026042925,Conference,Los Angeles,Stockholm,Avion,oui,1.3642940406590542
NewYork_202604290,Internal Meeting,New-York,New-York,Transports en commun,oui,0.00032
NewYork_202604291,Conference,New-York,Tunis,Avion,oui,1.0991700080279931
NewYork_202604292,Training,New-York,Marseille,Avion,non,0.9727721712159599
NewYork_202604293,Training,New-York,Dubaï,Avion,oui,1.687501204543864
NewYork_202604294,Development,New-York,Sidney,Avion,non,2.4447508211780637
NewYork_202604295,Internal Meeting,New-York,Lima,Avion,oui,0.9074036236801507
NewYork_202604296,Development,New-York,Lima,Avion,oui,0.9074036236801507
NewYork_202604297,Development,New-York,Alger,Avion,oui,0.998761614561318
NewYork_202604298,Training,New-York,Tokyo,Avion,oui,1.6632323701187266
